[-4.5 -4.5],[0.10651649 0.39347837 0.39348865 0.10651649]
[-3.5 -4.5],[1.15357186e-01 1.55630829e-04 6.71496448e-01 2.12990735e-01]
[-2.5 -4.5],[1. 0. 0. 0.]
[-1.5 -4.5],[0.         0.69848999 0.08852675 0.21298325]
[-0.5 -4.5],[0.0649474  0.66682856 0.05523406 0.21298999]
[ 0.5 -4.5],[6.80344538e-02 7.18983287e-01 4.34324466e-06 2.12977916e-01]
[ 1.5 -4.5],[6.30968791e-02 7.23920602e-01 1.81312345e-07 2.12982338e-01]
[ 2.5 -4.5],[0.06264735 0.11232963 0.61206138 0.21296164]
[ 3.5 -4.5],[0.40380562 0.05766327 0.32561044 0.21292068]
[ 4.5 -4.5],[7.85600110e-01 1.06950424e-01 4.99042432e-04 1.06950424e-01]
[-4.5 -3.5],[2.12984041e-01 6.71449595e-01 2.95917012e-04 1.15270447e-01]
[-3.5 -3.5],[6.75726448e-02 8.64769749e-01 8.77643568e-05 6.75698416e-02]
[-2.5 -3.5],[5.24711060e-02 8.79191353e-01 6.83329099e-02 4.63092084e-06]
[-1.5 -3.5],[5.15935047e-02 4.35916142e-01 1.02268897e-05 5.12480127e-01]
[-0.5 -3.5],[1.04094897e-01 3.81770844e-06 7.47000776e-02 8.21201208e-01]
[ 0.5 -3.5],[1. 0. 0. 0.]
[ 1.5 -3.5],[1. 0. 0. 0.]
[ 2.5 -3.5],[1. 0. 0. 0.]
[ 3.5 -3.5],[7.57531599e-01 1.70851435e-04 1.02526305e-01 1.39771244e-01]
[ 4.5 -3.5],[1. 0. 0. 0.]
[-4.5 -2.5],[1. 0. 0. 0.]
[-3.5 -2.5],[1. 0. 0. 0.]
[-2.5 -2.5],[2.03987853e-04 5.54640789e-05 3.36282092e-01 6.63458456e-01]
[-1.5 -2.5],[1. 0. 0. 0.]
[-0.5 -2.5],[1.00595376e-05 7.15756570e-05 3.92894888e-01 6.07023476e-01]
[ 0.5 -2.5],[1. 0. 0. 0.]
[ 1.5 -2.5],[1. 0. 0. 0.]
[ 2.5 -2.5],[3.02553129e-04 1.12003126e-01 6.15845433e-02 8.26109777e-01]
[ 3.5 -2.5],[0.40929401 0.07222023 0.07510966 0.4433761 ]
[ 4.5 -2.5],[0.6357758  0.22662412 0.13760007 0.        ]
[-4.5 -1.5],[1. 0. 0. 0.]
[-3.5 -1.5],[1. 0. 0. 0.]
[-2.5 -1.5],[0.         0.67106388 0.19311916 0.13581696]
[-1.5 -1.5],[0.068941   0.72924906 0.20180994 0.        ]
[-0.5 -1.5],[0.06285311 0.65606925 0.16575626 0.11532139]
[ 0.5 -1.5],[6.96693542e-02 7.87604405e-01 1.42702337e-01 2.39040111e-05]
[ 1.5 -1.5],[5.87427693e-02 8.42673394e-01 9.83472366e-02 2.36599837e-04]
[ 2.5 -1.5],[0.05373085 0.14410061 0.05316325 0.74900528]
[ 3.5 -1.5],[0.31024033 0.12091432 0.00070259 0.56814276]
[ 4.5 -1.5],[0.34323162 0.22316036 0.06566892 0.3679391 ]
[-4.5 -0.5],[0.1531126 0.8335786 0.0133088 0.       ]
[-3.5 -0.5],[0.06381939 0.86417061 0.07201    0.        ]
[-2.5 -0.5],[0.05942695 0.69969344 0.         0.24087962]
[-1.5 -0.5],[0.06560866 0.59910771 0.1183561  0.21692754]
[-0.5 -0.5],[0.07630084 0.56002523 0.0931031  0.27057083]
[ 0.5 -0.5],[0.0816998  0.54356007 0.05474032 0.31999981]
[ 1.5 -0.5],[0.08472189 0.45387589 0.0004779  0.46092432]
[ 2.5 -0.5],[0.09901681 0.         0.05540079 0.84558241]
[ 3.5 -0.5],[1. 0. 0. 0.]
[ 4.5 -0.5],[0.02768767 0.         0.14989426 0.82241808]
[-4.5  0.5],[0.06777185 0.3841778  0.08559206 0.46245828]
[-3.5  0.5],[0.13267935 0.         0.06333038 0.80399027]
[-2.5  0.5],[1. 0. 0. 0.]
[-1.5  0.5],[0.00173212 0.46593632 0.11862628 0.41370527]
[-0.5  0.5],[0.07666219 0.35571827 0.08884664 0.47877291]
[0.5 0.5],[0.15223961 0.         0.07560935 0.77215104]
[1.5 0.5],[1. 0. 0. 0.]
[2.5 0.5],[0.01938861 0.01901113 0.05952828 0.90207198]
[3.5 0.5],[1. 0. 0. 0.]
[4.5 0.5],[0.04770711 0.31408121 0.1066949  0.53151677]
[-4.5  1.5],[0.35812897 0.38307838 0.         0.25879265]
[-3.5  1.5],[0.23682809 0.17830462 0.         0.58486729]
[-2.5  1.5],[0. 1. 0. 0.]
[-1.5  1.5],[0.         0.39815755 0.04707918 0.55476327]
[-0.5  1.5],[0.13987569 0.25890451 0.05318645 0.54803334]
[0.5 1.5],[0.05289885 0.15898815 0.07550083 0.71261217]
[1.5 1.5],[0.         0.82640483 0.11644086 0.05715432]
[2.5 1.5],[0.         0.41714598 0.         0.58285402]
[3.5 1.5],[0. 1. 0. 0.]
[4.5 1.5],[0.04738478 0.14648917 0.         0.80612605]
[-4.5  2.5],[1. 0. 0. 0.]
[-3.5  2.5],[1. 0. 0. 0.]
[-2.5  2.5],[1. 0. 0. 0.]
[-1.5  2.5],[0.         0.39997103 0.         0.60002897]
[-0.5  2.5],[0. 0. 0. 1.]
[0.5 2.5],[1. 0. 0. 0.]
[1.5 2.5],[1. 0. 0. 0.]
[2.5 2.5],[1. 0. 0. 0.]
[3.5 2.5],[1. 0. 0. 0.]
[4.5 2.5],[0.         0.28684236 0.15403469 0.55912295]
[-4.5  3.5],[1. 0. 0. 0.]
[-3.5  3.5],[1. 0. 0. 0.]
[-2.5  3.5],[1. 0. 0. 0.]
[-1.5  3.5],[0.25334326 0.         0.2688363  0.47782044]
[-0.5  3.5],[1. 0. 0. 0.]
[0.5 3.5],[1. 0. 0. 0.]
[1.5 3.5],[1. 0. 0. 0.]
[2.5 3.5],[1. 0. 0. 0.]
[3.5 3.5],[1. 0. 0. 0.]
[4.5 3.5],[0.         0.40202222 0.0965469  0.50143088]
[-4.5  4.5],[1. 0. 0. 0.]
[-3.5  4.5],[1. 0. 0. 0.]
[-2.5  4.5],[1. 0. 0. 0.]
[-1.5  4.5],[1. 0. 0. 0.]
[-0.5  4.5],[0.         0.         0.27719533 0.72280467]
[0.5 4.5],[1. 0. 0. 0.]
[1.5 4.5],[1. 0. 0. 0.]
[2.5 4.5],[1. 0. 0. 0.]
[3.5 4.5],[1. 0. 0. 0.]
[4.5 4.5],[0.12969036 0.         0.         0.87030964]
